id,num_route,nom_rue,commune,essence,stade_dvlp,hauteur,circonfere,type_taill,etat_phyto,prop_fonc,gestion,date_diag,date_maj,etat,photo,date_plant,effectif,dvpt,genre
"50",RD78,R ANDREI SAKHAROV,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"226",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"367",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"438",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"474",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"500",RD10,R JULES GUESDE,BONDY,Sophora japonica,J,<10m,<50cm,Port libre,"1",,,"0","2018","1",,,"1",G,Sophora
"603",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,"2016","2018","1",,,"1",,
"734",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"738",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"819",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"831",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"893",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"1120",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"1227",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"1260",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"1297",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"1323",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"1360",RD10,R JULES GUESDE,BONDY,Capirnus betulus,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Capirnus
"1713",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"1987",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"2230",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"2330",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"2636",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,50-100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"2645",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,J,<10m,50-100cm,Rideau,"1",,,"2011","2018","1",,,"1",G,Platanus
"2650",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"2732",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"2813",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"2881",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"3018",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"3026",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"3028",RD41,R AUGUSTE POLISSARD,BONDY,Prunus avium,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Prunus
"3440",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"3536",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"3658",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"3748",RD41,R AUGUSTE POLISSARD,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"3749",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"3820",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"3823",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"3827",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"4067",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"4145",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"4182",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"4260",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"4321",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"4379",RD41,R AUGUSTE POLISSARD,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"4904",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"4994",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"5036",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"5041",RD41,AV HENRI VARAGNAT,BONDY,Picea abies,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Picea
"5150",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"5214",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"5312",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"5326",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"5328",RD41,R AUGUSTE POLISSARD,BONDY,Populus nigra,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Populus
"5363",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"5417",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"5607",RD41,AV HENRI VARAGNAT,BONDY,Fraxinus excelsior,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Fraxinus
"5618",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"5630",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"5814",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"5822",RD41,R AUGUSTE POLISSARD,BONDY,Populus nigra,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Populus
"5842",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"5889",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"5971",RD10,R JULES GUESDE,BONDY,Sophora japonica,J,<10m,<50cm,Port libre,"1",,,"0","2018","1",,,"1",G,Sophora
"5983",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,50-100cm,Port libre,"1",,,,"2018","1",,,"1",M,Prunus
"6012",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,"2016","2018","1",,,"1",,
"6087",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6153",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"6197",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6207",RD41,R AUGUSTE POLISSARD,BONDY,Populus nigra,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Populus
"6286",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6324",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6328",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,<50cm,Port libre,"1",,,"0","2019","1",,,"1",G,Ginkgo
"6423",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6468",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"6482",RD41,R AUGUSTE POLISSARD,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"6525",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"6533",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6534",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",,
"6609",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"6660",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6722",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"6758",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6773",RD10,R JULES GUESDE,BONDY,Sophora japonica,J,<10m,<50cm,Port libre,"1",,,"0","2018","1",,,"1",G,Sophora
"6812",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"6836",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,J,<10m,<50cm,Rideau,"1",,,"0","2018","1",,,"1",G,Platanus
"6865",RD41,R AUGUSTE POLISSARD,BONDY,Populus nigra,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Populus
"6895",RD10,AV HENRI BARBUSSE,BONDY,Prunus cerasifera 'Pissardii',A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",P,Prunus
"6943",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,50-100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"7020",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,J,<10m,50-100cm,Rideau,"1",,,"0","2018","1",,,"1",G,Platanus
"7074",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,J,<10m,50-100cm,Rideau,"1",,,"0","2018","1",,,"1",G,Platanus
"7080",RD41,R AUGUSTE POLISSARD,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"7144",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"7203",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"7224",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"7522",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"7640",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,"2016","2018","1",,,"1",,
"7727",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"7756",RD41,AV HENRI VARAGNAT,BONDY,Populus nigra,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Populus
"7814",RD41,R AUGUSTE POLISSARD,BONDY,Populus nigra,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Populus
"7852",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"8296",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,J,<10m,50-100cm,Rideau,"1",,,,"2018","1",,,"1",G,Platanus
"8370",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"8591",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"8720",RD41,R AUGUSTE POLISSARD,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"8734",RD10,R JULES GUESDE,BONDY,Capirnus betulus,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Capirnus
"8746",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"8983",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"9028",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,J,<10m,50-100cm,Rideau,"1",,,"0","2018","1",,,"1",G,Platanus
"9416",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"9471",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"9510",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",,
"9610",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"9807",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"9850",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"9884",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"10063",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",M,Prunus
"10131",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"10214",RD10,R JULES GUESDE,BONDY,Capirnus betulus,J,<10m,<50cm,Port libre,"1",,,"0","2018","1",,,"1",G,Capirnus
"10392",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"10567",RD41,AV HENRI VARAGNAT,BONDY,Fraxinus excelsior,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Fraxinus
"10709",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"10871",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",,
"11150",RD10,AV HENRI BARBUSSE,BONDY,Prunus cerasifera 'Pissardii',A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",P,Prunus
"11406",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"11415",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"11446",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"11474",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,"2016","2018","1",,,"1",,
"11497",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",,
"11644",RD41,R AUGUSTE POLISSARD,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"11717",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"11739",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",M,Prunus
"11765",RD10,AV HENRI BARBUSSE,BONDY,Prunus cerasifera 'Pissardii',A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",P,Prunus
"11776",RD41,R AUGUSTE POLISSARD,BONDY,Populus nigra,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Populus
"11793",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,J,<10m,<50cm,Rideau,"1",,,"0","2018","1",,,"1",G,Platanus
"11794",RD41,R AUGUSTE POLISSARD,BONDY,Populus nigra,A,<10m,50-100cm,Port libre,"2",,,,"2018","1",,,"1",G,Populus
"11915",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"12004",RD41,R AUGUSTE POLISSARD,BONDY,Populus nigra,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Populus
"12027",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",,
"12080",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"12138",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",M,Prunus
"12201",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"12338",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"12388",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"12390",RD10,R JULES GUESDE,BONDY,Prunus avium,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",G,Prunus
"12491",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,"2016","2018","1",,,"1",,
"12664",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"12679",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,<50cm,Port libre,"1",,,,"2018","1",,,"1",M,Prunus
"12721",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,"2016","2018","1",,,"1",,
