id,num_route,nom_rue,commune,essence,stade_dvlp,hauteur,circonfere,type_taill,etat_phyto,prop_fonc,gestion,date_diag,date_maj,etat,photo,date_plant,effectif,dvpt,genre
"24062",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"24078",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"24080",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"24105",RD10E,AV ANATOLE FRANCE,BONDY,Tilia cordata,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"24131",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"24167",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"24261",RD986,AV DE ROSNY,BONDY,,,,,,,,,"2016","2018","0",,,"1",,
"24265",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"24354",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"24360",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"24424",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"24430",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"24449",RD933,AV GALLIENI,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2012","2018","1",,,"1",G,Platanus
"24458",RD10,AV HENRI BARBUSSE,BONDY,Prunus cerasifera 'Pissardii',A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",P,Prunus
"24465",RD10,AV HENRI BARBUSSE,BONDY,Betula pendula,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Betula
"24518",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"24586",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"24641",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"24655",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"24678",RD10E,AV ANATOLE FRANCE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"24701",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,M,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"24771",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"24803",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"24830",RD78,R ANDREI SAKHAROV,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"24841",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"24891",RD10,AV HENRI BARBUSSE,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"24894",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"24899",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"24908",RD10E,AV ANATOLE FRANCE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"24966",RD41,RTE D'AULNAY,BONDY,Populus nigra 'Italica',S,>20m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",G,Populus
"24968",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"24978",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"24982",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"25058",RD10,AV HENRI BARBUSSE,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"25066",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"25083",RD41,RTE D'AULNAY,BONDY,Populus nigra 'Italica',S,>20m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",G,Populus
"25097",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"25147",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"25162",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"25163",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"25174",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"25191",RD41,RTE D'AULNAY,BONDY,Populus nigra 'Italica',S,>20m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",G,Populus
"25245",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"25248",RD41,RTE D'AULNAY,BONDY,Populus nigra 'Italica',S,>20m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",G,Populus
"25313",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"25340",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"25350",RD10E,AV ANATOLE FRANCE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"25368",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"25421",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"25458",RD986,AV DE ROSNY,BONDY,,,,,,,,,"2016","2018","0",,,"1",,
"25482",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"25501",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"25585",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"25619",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"25623",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"25637",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"25661",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"25718",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"25750",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"25775",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,<50cm,Port libre,"1",,,"0","2019","1",,,"1",G,Ginkgo
"25793",RD933,AV GALLIENI,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2012","2018","1",,,"1",G,Platanus
"25794",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"25906",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"25909",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,M,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"25930",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"25990",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"26052",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"26058",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"26105",RD10E,AV ANATOLE FRANCE,BONDY,Tilia cordata,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"26154",RD933,AV GALLIENI,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2012","2018","1",,,"1",G,Platanus
"26214",RD78,R ANDREI SAKHAROV,BONDY,Catalpa bignionoides,M,<10m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",M,Catalpa
"26216",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"26229",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"26267",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"26272",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"26285",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"26316",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"26394",RD41,R AUGUSTE POLISSARD,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"26404",RD986,AV DE ROSNY,BONDY,,,,,,,,,"2016","2018","0",,,"1",,
"26417",RD933,AV GALLIENI,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2012","2018","1",,,"1",G,Platanus
"26523",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"26668",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"26686",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"26696",RD933,AV GALLIENI,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2012","2018","1",,,"1",G,Platanus
"26698",RD10,AV HENRI BARBUSSE,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"26711",RD10E,AV ANATOLE FRANCE,BONDY,Populus nigra 'Italica',M,>20m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",G,Populus
"26754",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"26759",RD41,RTE D'AULNAY,BONDY,Sophora japonica,S,>20m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",G,Sophora
"26782",RD41,RTE D'AULNAY,BONDY,Populus nigra 'Italica',S,>20m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",G,Populus
"26883",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"26956",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"26966",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"26975",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"26980",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"27024",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"27058",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"27099",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"27131",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"27156",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27157",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27160",RD986,AV DE ROSNY,BONDY,,,,,,,,,"2016","2018","0",,,"1",,
"27204",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27234",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"27248",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"27280",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27313",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"27333",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27358",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27361",RD10,AV HENRI BARBUSSE,BONDY,Prunus cerasifera 'Pissardii',A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",P,Prunus
"27374",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27394",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"27401",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"27444",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27463",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"27473",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"27549",RD78,R ANDREI SAKHAROV,BONDY,Pinus nigra,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Pinus
"27553",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"3",,,"2009","2018","1",,,"1",G,Platanus
"27627",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27638",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27659",RD10,AV HENRI BARBUSSE,BONDY,Prunus cerasifera 'Pissardii',A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",P,Prunus
"27743",RD41,R AUGUSTE POLISSARD,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"27757",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"27782",RD78,R ANDREI SAKHAROV,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"27795",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"27818",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,M,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27820",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"27840",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"27846",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"27852",RD10E,AV ANATOLE FRANCE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"27861",RD986,AV DE ROSNY,BONDY,,,,,,,,,"2016","2018","0",,,"1",,
"27944",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27976",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"27981",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"27994",RD10E,AV ANATOLE FRANCE,BONDY,Tilia cordata,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"28040",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"28082",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,M,10-20m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"28107",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"1",,,"2009","2018","1",,,"1",G,Platanus
"28259",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"28287",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"28307",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"28336",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"28365",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"28409",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Prunus
"28437",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"1",,,"2011","2018","1",,,"1",G,Platanus
"28484",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"28528",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
"28535",RD41,RTE D'AULNAY,BONDY,Populus nigra 'Italica',S,>20m,>100cm,Port libre,"3",,,"0","2018","1",,,"1",G,Populus
"28541",RD41,RTE D'AULNAY,BONDY,Platanus x acerifolia,A,10-20m,>100cm,Rideau,"2",,,"2009","2018","1",,,"1",G,Platanus
"28616",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"28617",RD78,AV DU 14 JUILLET,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"0","2018","1",,,"1",G,Platanus
